1x Seeed XIAO RP2040
2x SK6812 MINI-E LEDs
4x M3x16mm screws
1x Case (2 3D printed parts)
5x Blank DSA keycaps (White)
5x MX-Style switches
1x EC11 Rotary encoders
4x M3x5mx4mm heatset inserts
